id,Name,Star,Distance,Mass,Radius,Gravity
0,SDSS J000013.54+255418.6 [de],Sun,0.000015813,1.989e+30,695700000.0,274.2691614595739
1,2MASS J00040288-6410358,Sirius,0008.6,4.1769e+30,1189647000.0,196.971799550325
2,2MASS J00242463-0158201,Alpha Centauri,0004.4,2.1879e+30,834840000.0,209.51116500384123
3,2MASS J00274197+0503417,Vega,0025,4.3758e+30,1878390000.0000002,82.76984296448046
4,2MASSW J0030300-145033,Rigel,0860,4.574699999999999e+31,54890730000.00001,1.01332978543217
5,2MASS J00332386-1521309 [de],Procyon,0011.4,2.9835e+30,1321830000.0,113.9622554541166
6,2MASS J00345157+0523050,Betelgeuse,0640[1],3.978e+31,660915000000.0,0.006077986957552886
7,2MASS 0036+1821,Achernar,0144,1.33263e+31,6470010000.000001,21.246425965766505
8,2MASSW J0045214+163445,Hadar,0390,2.08845e+31,5983020000.0,38.937617567949246
9,WISEP J004701.06+680352.1 [fr],Altair,0017,3.5802e+30,1252260000.0,152.37175636643
10,2MASS J00501994-3322402 [de],Acrux,0320,3.5801999999999996e+31,6191730000.0,62.326030883377484
11,2MASS J00584253-0651239 [de],Antares,0600,2.3868e+31,473076000000.0,0.0071177118025840995
12,2MASSI J0103320+193536,Pollux,0034,3.7790999999999997e+30,6122160000.000001,6.729227876719917
13,SDSSp J010752.33+004156.1 [de],Fomalhaut,0025,3.7790999999999997e+30,1252260000.0,160.83685394234274
14,2MASSI J0117474-340325 [de],Deneb,"2,600",3.7791e+31,141227100000.0,0.12645572733460908
15,2MASS J01415823-4633574 [de],Mimosa,0350,3.1824e+31,5843880000.0,62.19255361895101
16,SDSS J015141.69+124429.6,Regulus,0077,7.558199999999999e+30,2156670000.0,108.45190567600218
17,SDSS J020742.48+000056.2 [de],Gacrux,0088,2.9835e+30,58438800000.0,0.058305519017766566
18,2MASS J02103857-3015313,Bellatrix,0240,1.7105399999999998e+31,4035060000.0,70.11637302474244
19,2MASS J02340093-6442068,Elnath,0130,9.945e+30,2921940000.0,77.74069202368875
20,2MASS J02411151-0326587 [de],Miaplacidus,0110,6.9615e+30,4730760000.0,20.759992757536956
21,2MASS J02431371−2453298,Alnilam,"2,000",6.3648e+31,29219400000.0,4.975404289516081
22,LP 771-21,Gamma Velorum,"01,100",1.7900999999999998e+31,4174200000.0,68.56729036489348
23,2MASS J02535980+3206373,Alioth,0081,5.7681e+30,2921940000.0,45.08960137373948
24,WISE J0254+0223,Alnitak,01050,6.5637e+31,13914000000.0,22.62720582041485
25,DEN 0255-4700,Dubhe,0120,8.453249999999999e+30,20871000000.0,1.2951599291146547
26,2MASS J03185403-3421292 [de],Mirfak,0590,1.6906499999999999e+31,47307600000.0,0.5041712526830403
27,2MASS J03205965+1854233,Wezen,"1,600",3.3812999999999997e+31,139140000000.0,0.11656439362031892
28,2MASS J03231002-4631237,Sargas,0270,1.13373e+31,18088200000.0,2.3126245862715553
29,SDSS J032553.17+042540.1,Kaus Australis,0140,6.9615e+30,4730760000.0,20.759992757536956
30,2MASS J03264225-2102057 [de],Avior,0630,1.7900999999999998e+31,90441000000.0,0.14606050018557193
31,2MASS J03284265+2302051 [de],Alkaid,0104,1.2132899999999998e+31,2365380000.0,144.72680665254333
32,2MASS J03341218-4953322,Menkalinan,081,4.75371e+30,1927089000.0,85.43097080483021
33,LP 944-20,Atria,0390,1.3923e+31,64004400000.0,0.22682941046987448
34,2MASP J0345432+254023,Alhena,0109,5.5692e+30,2295810000.0,70.51915997124031
35,Teide 1,Peacock,0180,1.17351e+31,3339360000.0,70.23385645015131
36,2MASS J03510004-0052452,Alsephina[2],0080,4.7735999999999997e+30,2017530000.0,78.26943965552644
37,2MASS J03552337+1133437,Mirzam,0500,2.68515e+31,6957000000.0,37.02633679704248
38,2MASS J04151954−0935066,Alphard,0180,5.967e+30,34785000000.0,0.32912299375148873
39,2MASS J04285096-2253227 [de],Scheat,0196,4.1769e+30,66091500000.0,0.0638188630543053
40,2MASS J04351612-1606574,Almaaz,0653,2.9835e+31,97398000000.0,0.20989986846395964
41,2MASS J04362788-4114465,Rasalgethi,0360,5.5692e+30,194796000000.0,0.009795327194984781
42,2MASS J04390101-2353083 [de],Tau Ceti,011.9,1.557387e+30,621260100.0,269.29967110479345
43,2MASS J04433764+0002040,Ran,010.48,1.6309799999999997e+30,514818000.0,410.7025427261698
44,2MASS J04455387-3048204 [de],V382 Carinae,"08,900",3.978e+31,337414500000.0,0.023319728894426524
46,2MASS J05002100+0330501 [de],Delta Cephei,0887,8.950499999999999e+30,30958650000.0,0.023319728894426524
47,2MASS J05012406-0010452 [de],Mu Cephei,"06,000",3.8188799999999997e+31,676220400000.0,0.6232603088337748
48,2MASS J05160945-0445499 [de],Titawin,044.25,2.52603e+30,1029636000.0,0.005573726798954914
51,LSR 0602+3910 [de],61 Cygni,011.41,1.3923e+30,462640500.0,159.02202111653529
53,2MASS J06244595-4521548 [de],54 Piscium,036.1,1.51164e+30,653958000.0,159.02202111653529
54,2MASS J06411840-4322329 [de],Mira,0300,2.3867999999999998e+30,257409000000.0,159.02202111653529
56,UGPS J072227.51-054031.2,HD 140283,0202,1.61109e+30,1419228000.0,434.1419255394918
57,2MASSI J0727182+171001 [de],II Pegasi,0130,1.5912e+30,2365380000.0,434.1419255394918
59,SDSS J074201.41+205520.5 [de],Pistol Star,"025,000",1.989e+32,222624000000.0,235.9037604224493
61,2MASS J07522390+1612157,Barnard's Star,05.98,2.7846e+29,139140000.0,0.00240411244522636
62,DENIS J081730.0-615520,HE 1523-0901,"010,000",1.5912e+30,18783900000.0,0.00240411244522636
63,2MASS J08251968+2115521 [de],R136a1,"0163,000",5.7680999999999994e+32,22262400000.0,53.38283851938074
64,SDSSp J083008.12+482847.4 [de],Melnick 42,"0163,000",3.75921e+32,14679270000.000002,18.980564806890932
65,LHS 2021,WR 102,"018,134",3.7791e+31,271323000.0,18.980564806890932
66,SDSS J083048.80+012831.1 [de],VFTS 352,"0164,000",1.1432771999999998e+32,10066779000.0,0.2678409779878652
67,2MASSI J0835425-081923 [de],YBP 1194,"02,772",2.00889e+30,688743000.0,0.2678409779878652
68,2MASSI J0847287-153237 [de],Gliese 1214,047.5,3.1824e+29,146097000.0,959.9420651085088
71,2MASS 0939−2448,TRAPPIST-1,039.6,1.7702099999999997e+29,83484000.0,0.3009812471435654
72,2MASS J09490860-1545485 [de],2MASS J0523-1403,040.3,1.3923e+29,59830199.99999999,77.6738836164809
